Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.11515272727272728,0.12296,0.66948,0.0,0.0,0.47412,0.0,4e-05,0.0,0.0,8e-05,0.0
Borda ranking,0.014814545454545454,0.0,0.1086,0.0,0.0,0.05436,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.046483636363636366,0.00888,0.30688,0.0,0.0,0.19556,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.04652,0.00812,0.30744,0.0,0.0,0.19616,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.04652,0.00812,0.30744,0.0,0.0,0.19616,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.04652,0.00812,0.30744,0.0,0.0,0.19616,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.04652,0.00812,0.30744,0.0,0.0,0.19616,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.046483636363636366,0.00888,0.30688,0.0,0.0,0.19556,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.04652,0.00812,0.30744,0.0,0.0,0.19616,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.046483636363636366,0.00888,0.30688,0.0,0.0,0.19556,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.11422909090909092,0.1172,0.66676,0.0,0.0,0.47244,0.0,4e-05,0.0,0.0,8e-05,0.0
