Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.00036363636363636367,0.0,0.0004,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-1,0.0003745454545454545,0.0,0.00052,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-2,0.0003345454545454545,0.0,0.00012,0.0,0.0,0.0,0.00356,0.0,0.0,0.0,0.0,0.0
NN-3,0.0003563636363636364,0.0,0.00032,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-4,0.00035272727272727273,0.0,0.00028,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-5,0.0003418181818181818,0.0,0.00016,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-6,0.00033818181818181815,0.0,0.00012,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-7,0.0003490909090909091,0.0,0.00024,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-8,0.00037090909090909096,0.0,0.00048,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-9,0.00037818181818181814,0.0,0.00056,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-10,0.00033818181818181815,0.0,0.00012,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-11,0.00035272727272727273,0.0,0.00028,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-12,0.0003418181818181818,0.0,0.00016,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-13,0.00033818181818181815,0.0,0.00012,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-14,0.00034545454545454544,0.0,0.00024,0.0,0.0,0.0,0.00356,0.0,0.0,0.0,0.0,0.0
NN-15,0.0003490909090909091,0.0,0.00024,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-16,0.0003490909090909091,0.0,0.00024,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-17,0.0003418181818181818,0.0,0.00016,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-18,0.00033454545454545456,0.0,8e-05,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
NN-19,0.00033818181818181815,0.0,0.00012,0.0,0.0,0.0,0.0036,0.0,0.0,0.0,0.0,0.0
Random Choice,0.09930545454545454,0.038,0.67284,0.0,4e-05,0.35,0.03144,0.0,0.0,4e-05,0.0,0.0
Borda ranking,0.012592727272727273,0.0,0.10716,0.0,0.0,0.03136,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.05306909090909091,0.00136,0.39488,0.0,0.0,0.18752,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.036123636363636365,0.00016,0.27916,0.0,0.0,0.11804,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.041516363636363636,0.00012,0.31572,0.0,0.0,0.14084,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.05689454545454545,0.00032,0.4186,0.0,0.0,0.20692,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.05254545454545454,0.0002,0.38896,0.0,0.0,0.18884,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.05553818181818182,0.00036,0.40896,0.0,0.0,0.2016,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.05682545454545454,0.00032,0.41816,0.0,0.0,0.2066,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0549709090909091,0.00036,0.40604,0.0,0.0,0.19828,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.09968363636363636,0.04048,0.67304,0.0,4e-05,0.35156,0.03136,0.0,0.0,4e-05,0.0,0.0
