,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.05295428571428572,0.0,0.2857142857142857,0.2440342857142857,0.10413714285714286,0.18688,0.16734857142857143,0.1792342857142857,0.1792342857142857,0.20619428571428572,0.1792342857142857,0.2568,0.20619428571428572,0.2235542857142857,0.20619428571428572,0.18590857142857142,0.1792342857142857,0.23467428571428572
Max Violations Committee,0.2836137142857143,0.2857142857142857,0.0,0.246,0.2834285714285714,0.28568,0.2857142857142857,0.26801142857142857,0.26801142857142857,0.26453714285714286,0.26801142857142857,0.22395428571428572,0.26453714285714286,0.2526857142857143,0.26453714285714286,0.26406857142857143,0.26801142857142857,0.2509142857142857
Random Choice,0.24394571428571427,0.2440342857142857,0.246,0.0,0.24348571428571428,0.24352,0.24371428571428572,0.24382857142857142,0.24382857142857142,0.24621714285714286,0.24382857142857142,0.2457257142857143,0.24621714285714286,0.24604571428571428,0.24621714285714286,0.24425142857142856,0.24382857142857142,0.24476571428571428
Borda ranking,0.09259142857142857,0.10413714285714286,0.2834285714285714,0.24348571428571428,0.0,0.17462857142857144,0.15964571428571428,0.1614857142857143,0.1614857142857143,0.24625142857142857,0.1614857142857143,0.23830857142857143,0.24625142857142857,0.20776,0.24625142857142857,0.16042285714285714,0.1614857142857143,0.23149714285714285
Plurality ranking,0.19334514285714288,0.18688,0.28568,0.24352,0.17462857142857144,0.0,0.05313142857142857,0.23213714285714285,0.23213714285714285,0.25594285714285714,0.23213714285714285,0.22980571428571428,0.25594285714285714,0.23441142857142858,0.25594285714285714,0.22869714285714285,0.23213714285714285,0.24178285714285713
STV,0.17669257142857142,0.16734857142857143,0.2857142857142857,0.24371428571428572,0.15964571428571428,0.05313142857142857,0.0,0.22637714285714286,0.22637714285714286,0.24499428571428572,0.22637714285714286,0.24350857142857144,0.24499428571428572,0.2358742857142857,0.24499428571428572,0.22672,0.22637714285714286,0.2410057142857143
Approval Voting (AV),0.1659405714285714,0.1792342857142857,0.26801142857142857,0.24382857142857142,0.1614857142857143,0.23213714285714285,0.22637714285714286,0.0,0.0,0.2338742857142857,0.0,0.24957714285714286,0.2338742857142857,0.18691428571428573,0.2338742857142857,0.05916571428571429,0.0,0.22250285714285714
Proportional Approval Voting (PAV),0.1659405714285714,0.1792342857142857,0.26801142857142857,0.24382857142857142,0.1614857142857143,0.23213714285714285,0.22637714285714286,0.0,0.0,0.2338742857142857,0.0,0.24957714285714286,0.2338742857142857,0.18691428571428573,0.2338742857142857,0.05916571428571429,0.0,0.22250285714285714
Approval Chamberlin-Courant (CC),0.20982285714285717,0.20619428571428572,0.26453714285714286,0.24621714285714286,0.24625142857142857,0.25594285714285714,0.24499428571428572,0.2338742857142857,0.2338742857142857,0.0,0.2338742857142857,0.2857142857142857,0.0,0.26138285714285714,0.0,0.25325714285714285,0.2338742857142857,0.24510857142857143
Lexicographic Chamberlin-Courant (lex-CC),0.1659405714285714,0.1792342857142857,0.26801142857142857,0.24382857142857142,0.1614857142857143,0.23213714285714285,0.22637714285714286,0.0,0.0,0.2338742857142857,0.0,0.24957714285714286,0.2338742857142857,0.18691428571428573,0.2338742857142857,0.05916571428571429,0.0,0.22250285714285714
Sequential Approval Chamberlin-Courant (seq-CC),0.25264057142857144,0.2568,0.22395428571428572,0.2457257142857143,0.23830857142857143,0.22980571428571428,0.24350857142857144,0.24957714285714286,0.24957714285714286,0.2857142857142857,0.24957714285714286,0.0,0.2857142857142857,0.2139657142857143,0.2857142857142857,0.22808,0.24957714285714286,0.24322285714285713
Monroe's Approval Rule (Monroe),0.20982285714285717,0.20619428571428572,0.26453714285714286,0.24621714285714286,0.24625142857142857,0.25594285714285714,0.24499428571428572,0.2338742857142857,0.2338742857142857,0.0,0.2338742857142857,0.2857142857142857,0.0,0.26138285714285714,0.0,0.25325714285714285,0.2338742857142857,0.24510857142857143
Greedy Monroe,0.2172828571428571,0.2235542857142857,0.2526857142857143,0.24604571428571428,0.20776,0.23441142857142858,0.2358742857142857,0.18691428571428573,0.18691428571428573,0.26138285714285714,0.18691428571428573,0.2139657142857143,0.26138285714285714,0.0,0.26138285714285714,0.17950857142857143,0.18691428571428573,0.23377142857142857
Minimax Approval Voting (MAV),0.20982285714285717,0.20619428571428572,0.26453714285714286,0.24621714285714286,0.24625142857142857,0.25594285714285714,0.24499428571428572,0.2338742857142857,0.2338742857142857,0.0,0.2338742857142857,0.2857142857142857,0.0,0.26138285714285714,0.0,0.25325714285714285,0.2338742857142857,0.24510857142857143
Method of Equal Shares (aka Rule X) with Phragmén phase,0.17319371428571434,0.18590857142857142,0.26406857142857143,0.24425142857142856,0.16042285714285714,0.22869714285714285,0.22672,0.05916571428571429,0.05916571428571429,0.25325714285714285,0.05916571428571429,0.22808,0.25325714285714285,0.17950857142857143,0.25325714285714285,0.0,0.05916571428571429,0.2232457142857143
E Pluribus Hugo (EPH),0.1659405714285714,0.1792342857142857,0.26801142857142857,0.24382857142857142,0.1614857142857143,0.23213714285714285,0.22637714285714286,0.0,0.0,0.2338742857142857,0.0,0.24957714285714286,0.2338742857142857,0.18691428571428573,0.2338742857142857,0.05916571428571429,0.0,0.22250285714285714
Random Serial Dictator,0.23218514285714287,0.23467428571428572,0.2509142857142857,0.24476571428571428,0.23149714285714285,0.24178285714285713,0.2410057142857143,0.22250285714285714,0.22250285714285714,0.24510857142857143,0.22250285714285714,0.24322285714285713,0.24510857142857143,0.23377142857142857,0.24510857142857143,0.2232457142857143,0.22250285714285714,0.0
NN,,0.05295428571428572,0.2836137142857143,0.24394571428571427,0.09259142857142857,0.19334514285714288,0.17669257142857142,0.1659405714285714,0.1659405714285714,0.20982285714285717,0.1659405714285714,0.25264057142857144,0.20982285714285717,0.2172828571428571,0.20982285714285717,0.17319371428571434,0.1659405714285714,0.23218514285714287
