Method,Mean,Maj W,Maj L,Cond W,Cond L,Pareto,F Maj,Unanimity,Dummett's,JR,EJR,Core,S. Coalitions,Stability
NN,0.01966523076923073,0.0,7.6e-06,0.0001764,0.0,0.00014240000000000005,0.0,0.0,0.0682828,0.00011199999999999998,0.00011199999999999998,0.00011199999999999998,0.05154840000000001,0.1351544
Max,0.40852984615384624,0.0,0.8796800000000001,0.999808,0.598224,0.611872,0.21526399999999998,0.0,0.280248,0.22421600000000003,0.22941599999999998,0.37707199999999996,0.246736,0.648352
Min,0.017590769230769198,0.0,0.0008959999999999999,0.017296,0.0,0.0019200000000000003,6.400000000000001e-05,0.0,0.043312,0.0,0.0,0.0,0.033024,0.13216799999999998
Borda,0.027556923076923,0.0,0.016808,0.085584,0.0,1.6000000000000003e-05,0.046856,0.0,0.067792,0.0,0.0,0.0,0.046904,0.09428
EPH,0.046602461538461475,0.0,0.011256,0.31956,0.011232,0.0,0.004592000000000001,0.0,0.070344,0.0,0.0,0.0,0.052815999999999995,0.136032
SNTV,0.15154830769230768,0.0,0.328248,0.8210000000000001,0.044455999999999996,0.546472,0.159096,0.0,7.2e-05,0.0007199999999999999,0.0007440000000000001,0.013992000000000001,0.0,0.055328
Bloc,0.04658646153846151,0.0,0.011312,0.308192,0.011232,0.0,0.0,0.0,0.068264,0.00011199999999999998,0.00011199999999999998,0.00011199999999999998,0.051544,0.154744
STV,0.12170338461538455,0.0,0.22054400000000002,0.7463440000000001,0.0022719999999999997,0.476328,0.1322,0.0,0.0,0.0,8.000000000000001e-06,0.0028799999999999997,0.0,0.001568
PAV,0.0510301538461538,0.0,0.01124,0.365104,0.011232,0.0,0.027208,0.0,0.079384,0.0,0.0,0.0,0.058656,0.110568
MES,0.05423753846153843,0.0,0.011472,0.3902,0.01144,0.0,0.037160000000000006,0.0,0.084504,0.0,0.0,0.0,0.062231999999999996,0.10808
CC,0.1800664615384615,0.0,0.35951200000000005,0.876248,0.051848000000000005,0.47036,0.18344,0.0,0.11348799999999999,0.0,0.0015199999999999999,0.014487999999999997,0.09021599999999999,0.179744
seq-CC,0.17518646153846149,0.0,0.349256,0.864376,0.042992,0.450016,0.182928,0.0,0.112192,0.0,0.000704,0.000704,0.08892800000000001,0.185328
lex-CC,0.05529107692307687,0.0,0.011255999999999999,0.401264,0.011232,0.0,0.038216,0.0,0.085136,0.0,0.0,0.0,0.06273599999999999,0.108944
Monroe,0.16853046153846152,0.0,0.29892,0.850248,0.050575999999999996,0.445944,0.183288,0.0,0.110968,0.0,0.000144,0.011912,0.08866399999999999,0.150232
Greedy M.,0.08230092307692304,0.0,0.096464,0.508968,0.01144,0.055664000000000005,0.095696,0.0,0.098648,0.0,0.0,0.0,0.076864,0.126168
MAV,0.1915507692307692,0.0,0.383736,0.857696,0.069448,0.553144,0.185696,0.0,0.112872,0.011896,0.012736,0.012736,0.08955199999999999,0.200648
RSD,0.15474769230769228,0.0,0.256296,0.690968,0.032496,0.0,0.09404799999999999,0.0,0.10140799999999998,0.08432,0.084344,0.084344,0.08084,0.502656
Random,0.20784369230769223,0.0,0.44356,0.8830559999999998,0.09212000000000001,0.544064,0.18296800000000002,0.0,0.112424,0.022927999999999997,0.024423999999999998,0.037992000000000005,0.08946400000000002,0.268968
