Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-root-0,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-1,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-2,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-3,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-4,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-5,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-6,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-7,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-8,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-9,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-10,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
NN-root-11,0.0694552343987496,0.0124945111971577,0.5927507883916809,0.0,0.0216757814059318,0.0,0.0,0.0,0.2677737415672029,0.0,0.0,0.0082232246217715,0.0,0.0
